Date,Open,High,Low,Close,Adj Close,Volume
2019-04-08,40.863377,41.062618,40.711575,40.929790,36.394768,15410323
2019-04-09,40.777988,40.796963,40.398483,40.645161,36.141678,18825072
2019-04-10,40.721062,40.721062,40.464897,40.540798,36.048874,13202615
2019-04-11,40.597721,40.635674,39.838711,40.104362,35.660797,20214877
2019-04-12,40.170776,40.170776,39.449715,39.573055,35.188354,21338546
2019-04-15,39.715370,39.962048,39.345352,39.933586,35.508945,18362788
2019-04-16,40.056927,40.132828,38.738140,38.823528,34.521877,27506976
2019-04-17,38.804554,38.899429,37.371918,37.836811,33.644485,42412117
2019-04-18,37.884251,37.884251,36.451614,37.362431,33.222672,50579774
2019-04-22,37.030361,37.476280,36.821632,36.982922,32.885208,31018904
2019-04-23,37.087288,37.609108,36.888046,37.400379,33.256413,26672102
2019-04-24,37.476280,37.609108,37.153702,37.352940,33.214230,21196994
2019-04-25,37.239090,37.789375,37.163189,37.580647,33.416710,18130065
2019-04-26,37.637569,37.941177,37.428844,37.922199,33.720409,20053193
2019-04-29,37.922199,37.969639,37.561668,37.561668,33.399834,23229001
2019-04-30,38.330170,39.070210,37.760910,38.529411,34.260345,34360400
2019-05-01,38.510437,38.823528,38.111954,38.681213,34.395336,20703406
2019-05-02,38.719166,38.918407,38.500950,38.908916,34.597805,20471210
2019-05-03,39.108158,39.373814,38.927895,39.269451,34.918392,18664759
2019-05-06,38.814041,39.629982,38.747627,39.516129,35.137741,25973406
2019-05-07,39.269451,39.573055,38.425049,38.738140,34.445953,27603838
2019-05-08,38.709679,38.927895,38.368122,38.851994,34.547188,23811968
2019-05-09,38.235294,38.747627,38.168880,38.557877,34.606319,19732461
2019-05-10,38.548386,38.728653,37.827324,38.633778,34.674446,17391527
2019-05-13,38.168880,38.567364,38.092979,38.491463,34.546711,28010788
2019-05-14,38.510437,38.776093,38.481972,38.576851,34.623352,26772759
2019-05-15,38.766602,39.174572,38.614799,39.041744,35.040600,33520678
2019-05-16,39.041744,39.829224,39.041744,39.506641,35.457851,25508486
2019-05-17,39.184059,39.667931,39.136623,39.345352,35.313091,29187684
2019-05-20,39.278938,39.573055,39.165085,39.459202,35.415272,24251591
2019-05-21,39.573055,39.667931,39.364326,39.535103,35.483395,28785056
2019-05-22,39.554081,40.047440,39.421253,39.838711,35.755894,25274604
2019-05-23,39.696396,39.829224,39.516129,39.772297,35.696285,25495944
2019-05-24,39.905125,40.142315,39.724857,39.800758,35.721828,15383341
2019-05-28,39.990513,40.303604,39.743832,39.753323,35.679256,49440610
2019-05-29,39.563568,39.696396,39.165085,39.582542,35.525970,26895761
2019-05-30,39.544594,39.800758,39.449715,39.753323,35.679256,17344308
2019-05-31,39.554081,39.829224,39.326378,39.392788,35.355671,22639288
2019-06-03,39.497154,40.028461,39.440228,39.772297,35.696285,22643082
2019-06-04,40.303604,40.559772,39.886147,40.066414,35.960258,18453537
2019-06-05,40.417458,40.645161,40.237190,40.303604,36.173138,21418861
2019-06-06,40.607212,40.882355,40.303604,40.521824,36.368992,24494222
2019-06-07,40.777988,41.034157,40.664139,40.721062,36.547810,20023470
2019-06-10,41.024670,41.024670,40.483871,40.863377,36.675545,15275727
2019-06-11,40.986717,41.081593,40.370018,40.483871,36.334930,18813162
2019-06-12,40.294117,40.958256,40.284630,40.872864,36.684059,16296843
2019-06-13,40.863377,40.929790,40.199242,40.322582,36.190174,14464042
2019-06-14,40.341557,40.673622,40.303604,40.569260,36.411564,13197872
2019-06-17,40.512333,40.702087,40.180267,40.683113,36.513752,14094931
2019-06-18,40.626186,41.110058,40.626186,40.863377,36.675545,22833434
2019-06-19,40.958256,41.356735,40.882355,41.271347,37.041710,21753611
2019-06-20,41.584438,41.850094,41.280834,41.366222,37.126858,23500300
2019-06-21,41.318787,41.745731,41.091084,41.432636,37.186462,38141203
2019-06-24,41.451614,41.650852,41.242886,41.518028,37.263107,24624075
2019-06-25,41.603416,42.020874,41.518028,41.518028,37.263107,28429015
2019-06-26,41.442123,41.555977,40.322582,40.787476,36.607422,41009348
2019-06-27,40.815941,41.328274,40.806454,41.204933,36.982094,21994977
2019-06-28,41.223907,41.480076,40.777988,41.100571,36.888435,39726209
2019-07-01,41.280834,41.631878,41.119545,41.527515,37.271622,21341392
2019-07-02,41.442123,41.954460,41.423149,41.954460,37.654808,16541898
2019-07-03,42.096775,42.277039,41.726753,42.125237,37.808086,10297580
2019-07-05,42.039848,42.077801,41.537003,41.669830,37.399345,18295227
2019-07-08,41.555977,41.622391,40.777988,41.081593,36.871395,23955312
2019-07-09,41.195446,41.555977,41.081593,41.148006,36.931004,14223308
2019-07-10,41.413662,41.850094,41.214420,41.802658,37.518559,15298599
2019-07-11,41.100571,41.328274,40.208729,40.777988,36.598904,38383518
2019-07-12,40.711575,40.787476,39.857685,40.227703,36.105015,33580967
2019-07-15,40.104362,40.578747,40.075901,40.559772,36.403057,20363912
