Date,Open,High,Low,Close,Adj Close,Volume
2019-04-08,136.730408,137.112808,136.587006,137.084137,117.624306,2215637
2019-04-09,136.386230,136.663483,135.602295,135.860428,116.574287,3178271
2019-04-10,135.946457,137.189301,135.736145,136.730408,117.320770,2801188
2019-04-11,137.476105,137.772461,136.739960,137.456985,117.944199,3077332
2019-04-12,137.915863,138.087952,137.380493,138.001907,118.411774,3032249
2019-04-15,138.049713,138.107071,136.969406,137.571701,118.042641,3768947
2019-04-16,138.049713,138.996170,137.686417,138.757172,119.059830,6591578
2019-04-17,131.328873,135.736145,130.267685,132.992355,114.113342,13101882
2019-04-18,132.887192,134.311661,132.600388,134.158707,115.114143,5188160
2019-04-22,133.288712,134.378586,132.390060,132.782028,113.932869,4700724
2019-04-23,133.030594,134.722748,132.829834,134.263855,115.204361,4667461
2019-04-24,134.416824,135.095596,133.632889,133.795410,114.802391,2902545
2019-04-25,133.556412,133.604202,131.653915,132.533463,113.719604,3043965
2019-04-26,133.212234,133.738052,132.705551,133.307846,114.384056,2426511
2019-04-29,133.030594,133.489487,132.705551,132.934998,114.064156,3094382
2019-04-30,132.992355,134.263855,132.581268,134.101334,115.064919,4852185
2019-05-01,134.369019,135.573608,134.005737,134.378586,115.302803,3194170
2019-05-02,134.321228,135.066925,133.279160,133.451248,114.507118,3704304
2019-05-03,133.556412,134.799240,133.489487,134.082214,115.048515,2698575
2019-05-06,132.217972,134.502869,131.835571,134.206497,115.155144,2921792
2019-05-07,133.030594,133.374756,130.200760,131.587006,112.907501,4944233
2019-05-08,131.711288,132.600388,131.099426,131.931168,113.202812,3994569
2019-05-09,128.957932,129.617584,127.179733,129.388138,112.400970,4385564
2019-05-10,128.948380,129.780121,126.596558,129.369019,112.384354,4160570
2019-05-13,127.418739,127.695984,125.200768,125.640533,109.145370,5186068
2019-05-14,126.022942,128.412994,125.889099,127.447418,110.715042,3431298
2019-05-15,126.759079,128.671127,126.548759,128.489487,111.620300,2668346
2019-05-16,128.814529,130.124283,128.718933,129.904404,112.849449,3156096
2019-05-17,128.757172,129.455063,128.049713,128.412994,111.553841,2739579
2019-05-20,127.657745,129.474182,127.084129,129.177826,112.218262,3414667
2019-05-21,130.133850,131.032501,129.818359,130.449326,113.322838,2618661
2019-05-22,130.019119,130.736145,129.741867,130.353729,113.239792,1934891
2019-05-23,129.187378,129.187378,124.703636,126.567879,109.950974,5589196
2019-05-24,127.657745,128.346085,125.803062,126.462715,109.859612,2715521
2019-05-28,126.319313,126.806885,124.541107,124.722755,108.348083,5134605
2019-05-29,124.282982,124.550667,122.676865,123.986618,107.708603,3848234
2019-05-30,124.034416,124.254303,123.260040,123.871895,107.608932,2868027
2019-05-31,122.791588,122.791588,121.271507,121.405357,105.466225,3702108
2019-06-03,121.510513,122.906311,121.472275,122.629066,106.529297,4463177
2019-06-04,123.862335,126.902489,123.413002,126.854683,110.200119,4093521
2019-06-05,127.514343,127.734222,124.732315,125.707458,109.203522,3306720
2019-06-06,126.376671,126.816444,125.143402,126.405357,109.809776,2403917
2019-06-07,126.644356,128.795410,126.395790,127.447418,110.715042,2670856
2019-06-10,128.470367,129.397705,128.021027,128.814529,111.902657,3045220
2019-06-11,129.369019,130.458893,129.110901,129.971313,112.907593,3564036
2019-06-12,129.598465,129.961761,128.499039,128.938812,112.010643,2358416
2019-06-13,129.187378,130.277252,129.149139,129.789673,112.749771,3091244
2019-06-14,129.483749,129.904404,128.518158,129.206497,112.243179,2294192
2019-06-17,129.435944,130.047806,128.776291,129.015289,112.077065,2295029
2019-06-18,129.254303,131.156784,129.254303,130.382416,113.264717,3048776
2019-06-19,130.430206,132.275330,130.248566,131.051620,113.846054,2491990
2019-06-20,132.820267,133.403442,132.122375,132.743790,115.316063,3212266
2019-06-21,132.351822,133.403442,132.304016,133.078400,115.606735,5531980
2019-06-24,133.078400,133.986618,132.934998,133.221802,115.731293,2286556
2019-06-25,133.326965,133.412994,132.055450,132.275330,114.909111,2930055
2019-06-26,132.762909,133.537292,132.323135,132.428299,115.042000,2389692
2019-06-27,132.619507,133.173996,131.883362,132.428299,115.042000,2248691
2019-06-28,132.476105,133.021027,131.778198,131.835571,114.527069,6436979
2019-07-01,133.460800,135.267685,133.154877,133.728485,116.171463,3533074
2019-07-02,133.604202,134.254303,133.336517,134.053543,116.453850,2520546
2019-07-03,134.531555,135.583176,134.254303,135.315491,117.550125,2019198
2019-07-05,134.674957,135.267685,133.757172,135.162521,117.417252,2232896
2019-07-08,134.847031,135.076477,134.101334,134.388138,116.744522,2505484
2019-07-09,134.426392,134.789673,133.011475,133.202682,115.714714,3519999
2019-07-10,133.843216,135.669220,133.642441,134.292542,116.661484,2629539
2019-07-11,134.598465,135.353729,134.130020,135.028687,117.300964,2231013
2019-07-12,135.678772,136.634796,135.430206,136.462708,118.546715,2914365
2019-07-15,136.606125,137.198853,135.869980,137.017212,119.028419,2477242
2019-07-16,136.873810,137.705551,136.730408,137.217972,119.202843,3634536
2019-07-17,137.294449,137.476105,135.707458,136.778198,118.820801,6343258
2019-07-18,136.233276,143.699814,135.946457,143.049713,124.268936,13276460
