Date,Open,High,Low,Close,Adj Close,Volume
1998-04-08,50.071701,50.489964,49.593689,49.952198,28.958860,5635011
1998-04-09,50.489964,50.908222,50.340584,50.848469,29.478455,6338760
1998-04-13,50.938099,51.535610,49.802818,49.802818,28.872253,8545820
1998-04-14,50.191204,50.788719,50.011951,50.788719,29.443815,4990466
1998-04-15,51.147228,52.491634,50.908222,52.461758,30.413727,9522993
1998-04-16,52.282505,52.581261,51.445984,51.535610,29.876818,7072215
1998-04-17,51.356358,51.595364,50.908222,51.505737,29.859495,6598168
1998-04-20,51.595364,53.178776,51.236855,53.148903,30.812090,10301636
1998-04-21,54.493309,56.644360,54.314053,56.405354,32.699955,25734947
1998-04-22,56.405354,57.361378,54.792065,54.851814,31.799311,13695906
1998-04-23,54.732315,56.226097,54.553059,56.166348,32.561398,9997250
1998-04-24,55.807838,56.375477,55.568832,56.106598,32.526752,8276370
1998-04-27,55.568832,55.748089,54.672562,55.120697,31.955198,8990370
1998-04-28,55.509083,56.644360,55.120697,55.299953,32.059116,10851413
1998-04-29,55.299953,55.867592,54.792065,55.240200,32.024494,7120959
1998-04-30,55.479206,56.136471,55.210323,55.389580,32.111080,7442290
1998-05-01,55.419456,56.106598,55.210323,55.867592,32.388206,5180838
1998-05-04,55.987095,56.823612,55.748089,55.748089,32.318916,5557398
1998-05-05,55.777966,56.524857,55.777966,56.315727,32.648003,5641287
1998-05-06,56.405354,56.853489,56.046844,56.046844,32.555706,6657790
1998-05-07,56.166348,56.285851,55.509083,55.987095,32.520996,5553005
1998-05-08,55.897469,57.361378,55.867592,57.361378,33.319275,8124073
1998-05-11,57.451004,58.675907,56.554733,57.032745,33.128384,9981769
1998-05-12,56.524857,57.361378,56.076721,57.182121,33.215149,7894790
1998-05-13,57.480881,58.436901,57.421127,58.257648,33.839886,8291224
1998-05-14,58.974667,61.812859,58.735661,60.139816,34.933155,22025831
1998-05-15,60.050190,61.065968,59.333176,59.721558,34.690224,11712899
1998-05-18,59.631931,60.109943,59.004539,59.572182,34.603455,7375346
1998-05-19,60.050190,60.707458,59.631931,59.751434,34.707573,8154616
1998-05-20,59.870937,60.139816,58.586281,59.034416,34.291069,6305497
1998-05-21,59.034416,59.363049,58.287525,59.094170,34.325790,6103828
1998-05-22,59.094170,59.094170,57.899139,58.287525,33.857239,4180862
1998-05-26,58.496655,58.795410,57.749760,57.839390,33.596924,7271164
1998-05-27,57.032745,58.078396,56.674236,57.480881,33.388699,10500166
1998-05-28,57.480881,58.138145,57.271751,57.391251,33.336609,6217842
1998-05-29,57.630257,57.809513,56.106598,56.166348,32.625118,5973497
1998-06-01,56.106598,56.554733,54.792065,56.016968,32.538334,7643540
1998-06-02,56.016968,56.255974,54.881691,55.240200,32.087154,8140600
1998-06-03,55.449329,55.748089,54.433556,54.433556,31.618589,6152363
1998-06-04,54.612812,55.538960,54.612812,55.479206,32.225971,6345664
1998-06-05,55.807838,56.883366,55.718212,56.823612,33.006901,8624688
1998-06-08,56.763863,57.361378,56.584606,56.793739,32.989555,3922500
